acc,combined_dropout,congress_cutoff,covariates_list,data_type,dropout_type,k_dim,k_time,loss,n_leg,n_votes,no_point_dropout,nonzero_dim_count,val_acc,val_loss,yes_point_dropout
0.8457718906068618,,0,,votes,,1,0,0.3334799981668308,12140,94357,0.2,,0.8413516204268129,0.34320318052071075,0.2
0.8668979147935986,,0,,votes,,2,0,0.29637890567754266,12140,94357,0.2,,0.8587372986482923,0.3137313841403976,0.2
0.8517287390373031,,0,,votes,,1,0,0.3207579403948735,12140,94357,0.0,,0.8467727251690443,0.3332779209724456,0.0
0.8788046060599644,,0,,votes,,3,0,0.27537949265026546,12140,94357,0.2,,0.8676822291486233,0.298155636449739,0.2
0.8722603845103108,,0,,votes,,2,0,0.2828885733992541,12140,94357,0.0,,0.8633478511194722,0.306107187825711,0.0
0.8866796834025712,,0,,votes,,4,0,0.2617896433383705,12140,94357,0.2,,0.8722348246561606,0.2906758359208744,0.2
0.8834571283980365,,0,,votes,,3,0,0.26117756669212483,12140,94357,0.0,,0.8712226542694038,0.29221634700769505,0.0
0.8909308731897266,,0,,votes,,4,0,0.2470498310670093,12140,94357,0.0,,0.8753200441657649,0.2861231555366437,0.0
0.8923491381369048,,0,,votes,,5,0,0.2503866640935823,12140,94357,0.2,,0.8744795610716771,0.2869170482099519,0.2
0.8967437862292742,,0,,votes,,5,0,0.23553015036724834,12140,94357,0.0,,0.8776189260254019,0.2830463489146593,0.0
0.9014779337265209,,0,,votes,,6,0,0.2264528635862823,12140,94357,0.0,,0.8789573326799061,0.28289285566977385,0.0
0.9059004714481814,,0,,votes,,7,0,0.21818624598736527,12140,94357,0.0,,0.8799153594919006,0.283431247408457,0.0
0.8978595560309548,,0,,votes,,6,0,0.2406186381724803,12140,94357,0.2,,0.8765950549716892,0.28366257342298656,0.2
0.9024548028641182,,0,,votes,,7,0,0.2312320225107316,12140,94357,0.2,,0.877429550342784,0.2833756514704521,0.2
0.9098195084716336,,0,,votes,,8,0,0.2108287638096666,12140,94357,0.0,,0.8801458181195753,0.2853164708770857,0.0
0.906283028953034,,0,,votes,,8,0,0.2245242459130177,12140,94357,0.2,,0.878084468781015,0.28298750943111084,0.2
0.8458410692631364,,0,,votes,normal,1,0,0.3329908676629123,12140,94357,0.2,,0.8415513322967917,0.3425670600866724,0.2
0.8624529301789277,,0,,votes,normal,2,0,0.30456121407138786,12140,94357,0.2,,0.8560430736936678,0.3191549409927682,0.2
0.8723048715920515,,0,,votes,normal,3,0,0.286004047208133,12140,94357,0.2,,0.8635551818995785,0.3054104182807129,0.2
0.880456392305543,,0,,votes,normal,4,0,0.2703060305574243,12140,94357,0.2,,0.869249735135479,0.29530925522595003,0.2
0.8865926832718822,,0,,votes,normal,5,0,0.2583950380774221,12140,94357,0.2,,0.8728750511184876,0.2887870560239075,0.2
0.8913509781099954,,0,,votes,normal,6,0,0.24908307838757324,12140,94357,0.2,,0.8751537977478249,0.2851302676088087,0.2
0.8951966184154195,,0,,votes,normal,7,0,0.24167738825663096,12140,94357,0.2,,0.8766614437821654,0.28270382097012,0.2
0.9000383101931763,,0,,votes,normal,8,0,0.23214314349865064,12140,94357,0.2,,0.8792868323932042,0.2780876762565617,0.2
0.9036603620215602,,0,,votes,normal,9,0,0.2254826494820235,12140,94357,0.2,,0.8805504162839684,0.2757694356822257,0.2
0.8737518159763481,,93,,votes,normal,1,0,0.2851280471124063,2262,36323,0.2,,0.8717878751396598,0.29182129671465457,0.2
0.8823693728147234,,93,,votes,normal,2,0,0.26775301717384903,2262,36323,0.2,,0.8789139586238329,0.2777664707854851,0.2
0.887084950243825,,93,,votes,normal,3,0,0.25762463070988234,2262,36323,0.2,,0.8825983739355694,0.27063369825076183,0.2
0.8920618750091955,,93,,votes,normal,4,0,0.2472764403161163,2262,36323,0.2,,0.8860113427289499,0.26392401332967985,0.2
0.8959186149393177,,93,,votes,normal,5,0,0.23912751909581914,2262,36323,0.2,,0.8883244399907131,0.2593814860364812,0.2
0.8994480925944577,,93,,votes,normal,6,0,0.2312692934474179,2262,36323,0.2,,0.8903865223552417,0.2548656823166557,0.2
0.9022204019523626,,93,,votes,normal,7,0,0.2250497657130832,2262,36323,0.2,,0.8919105888974928,0.2519751220528698,0.2
0.9048235459433104,,93,,votes,normal,8,0,0.21961262386732544,2262,36323,0.2,,0.8933305508866743,0.2491439588004461,0.2
0.9078945389851216,,93,,votes,normal,9,0,0.21324847162464905,2262,36323,0.2,,0.8945588516785427,0.2476439902387849,0.2
0.9100615756388332,,93,,votes,normal,10,0,0.2092104758296782,2262,36323,0.2,,0.8954330108525357,0.2454456953692053,0.2
0.907643475018997,,0,,votes,normal,10,0,0.21837579560137413,12140,94357,0.2,,0.8826046878033218,0.27179228211582546,0.2
0.9117668456863268,,93,,votes,normal,11,0,0.20496011613488405,2262,36323,0.2,,0.8955487869532325,0.2457739222624057,0.2
0.9137045185831044,,93,,votes,normal,12,0,0.2010822582233562,2262,36323,0.2,,0.8959457337885954,0.2454127452150118,0.2
0.9156820812049641,,93,,votes,normal,13,0,0.1972591538268038,2262,36323,0.2,,0.8967975174546978,0.2439261322492713,0.2
0.9105656444560664,,0,,votes,normal,11,0,0.21294350980777327,12140,94357,0.2,,0.8832460020017221,0.2712325569163617,0.2
0.9175455701713564,,93,,votes,normal,14,0,0.1937812447524905,2262,36323,0.2,,0.8970096121448177,0.2440842774489184,0.2
0.9197829005068728,,93,,votes,normal,15,0,0.1896966051189992,2262,36323,0.2,,0.8974668824965438,0.2425791131479305,0.2
